country,AEZ,FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,suitable_class,Hrv_strt,Hrv_end
ETH,1,11439,11,439,Beverages,"Beer, sorghum (est. 3% alcohol)",1,2,4
ETH,1,11451,11,451,Beverages,Ovaltine beverage with partly skimmed milk (without sugar; fortified),1,3,5
ETH,1,1047,1,47,Cereals and their products,"Bread, wheat, white for toasting",3,4,6
ETH,1,1059,1,59,Cereals and their products,"Maize, white, flour degermed ",3,5,7
ETH,1,1076,1,76,Cereals and their products,"Maize, white, stiff porridge* (without salt)",3,2,4
ETH,1,1004,1,4,Cereals and their products,"Maize, white, whole kernel, dried, raw",3,5,7
ETH,1,1017,1,17,Cereals and their products,"Pearl millet, whole grain, raw (with bran)",1,10,12
ETH,1,1034,1,34,Cereals and their products,"Rice, brown, raw",1,0,2
ETH,1,1040,1,40,Cereals and their products,"Sorghum, whole grain, white, raw",2,8,10
ETH,1,1073,1,73,Cereals and their products,"Wheat, bran",2,8,10
ETH,1,5253,5,253,Fruits and their products,"Fruit cocktail, canned in syrup",4,7,9
ETH,1,5234,5,234,Fruits and their products,"Mango, orange flesh,  raw",3,6,8
ETH,1,5259,5,259,Fruits and their products,"Palm nuts, pulp, raw",1,8,10
ETH,1,5236,5,236,Fruits and their products,"Papaya, fruit, ripe, raw",1,1,3
ETH,1,5260,5,260,Fruits and their products,"Pomegranate, raw",4,11,1
ETH,1,5239,5,239,Fruits and their products,"Tamarind, immature fruit, raw",1,12,2
ETH,1,3140,3,140,Legumes and their products,"Lentils, dried, raw",2,1,3
ETH,1,3118,3,118,Legumes and their products,"Soya bean, dried, raw",3,5,7
ETH,1,7316,7,316,Meat and poultry and their products,"Bamboo caterpillar, deep fried",3,1,3
ETH,1,7291,7,291,Meat and poultry and their products,"Beef liver, raw",2,6,8
ETH,1,7313,7,313,Meat and poultry and their products,"Beef,  ground, 10 % fat, raw",3,1,3
ETH,1,7315,7,315,Meat and poultry and their products,"Beef, meat, cured, corned, canned",4,1,3
ETH,1,7329,7,329,Meat and poultry and their products,"Chicken giblets, raw",2,6,8
ETH,1,7336,7,336,Meat and poultry and their products,"Goat, meat, raw",2,10,12
ETH,1,7341,7,341,Meat and poultry and their products,"Lamb, brain, raw",1,5,7
ETH,1,7343,7,343,Meat and poultry and their products,"Lamb, liver, raw",4,3,5
ETH,1,7296,7,296,Meat and poultry and their products,"Pork, meat, approx. 20 % fat, boneless, raw",4,5,7
ETH,1,10412,10,412,Milk and their products,"Cheese, Gouda",4,11,1
ETH,1,10413,10,413,Milk and their products,"Cream, whipping, 38 % fat",1,8,10
ETH,1,10421,10,421,Milk and their products,"Milk, cow powder, skimmed",2,10,12
ETH,1,10420,10,420,Milk and their products,"Milk, cow, canned, evaporated",3,5,7
ETH,1,10406,10,406,Milk and their products,"Milk, cow, powder, whole",1,11,1
ETH,1,10407,10,407,Milk and their products,"Milk, goat, raw",2,7,9
ETH,1,12459,12,459,Miscellaneous,"Bay leaf, dried",2,3,5
ETH,1,12462,12,462,Miscellaneous,"Cube, beef, dry",4,12,2
ETH,1,12465,12,465,Miscellaneous,"Ginger, roots, dried",2,1,3
ETH,1,12455,12,455,Miscellaneous,Honey,3,11,1
ETH,1,12467,12,467,Miscellaneous,"Mustard, prepared, yellow",2,9,11
ETH,1,12470,12,470,Miscellaneous,"Spices, mix, ground",4,0,2
ETH,1,6265,6,265,"Nuts, seeds and their products","Cashew nut, raw",4,2,4
ETH,1,6266,6,266,"Nuts, seeds and their products","Coconut, mature kernel, fresh, raw",2,8,10
ETH,1,6287,6,287,"Nuts, seeds and their products","Groundnut flour, with fat",1,3,5
ETH,1,6289,6,289,"Nuts, seeds and their products","Palm nut kernel, shelled, raw",2,1,3
ETH,1,6277,6,277,"Nuts, seeds and their products","Shea nut, seed kernel, dried, raw",2,1,3
ETH,1,2078,2,78,"Starchy roots, tubers and their products","Cassava, tuber, dried",1,10,12
ETH,1,2100,2,100,"Starchy roots, tubers and their products","Tiger nut, tuber dried",1,12,2
ETH,1,4153,4,153,Vegetables and their products,"Beans, green raw",4,8,10
ETH,1,4155,4,155,Vegetables and their products,"Cabbage, raw",2,6,8
ETH,1,4159,4,159,Vegetables and their products,"Cocoyam, leaves, raw",2,3,5
ETH,1,4161,4,161,Vegetables and their products,"Drumstick  leaves, raw",1,3,5
ETH,1,4166,4,166,Vegetables and their products,"Roselle leaves, raw",3,2,4
ETH,1,4170,4,170,Vegetables and their products,"Taro, leaves, raw",4,7,9
ETH,1,4216,4,216,Vegetables and their products,"Tomato paste, concentrated",2,1,3
