food_item_id,country_code,local_food_grp,local_food_name
831,1,Flesh foods ,"Sheep meat, dried"
835,1,"Grains, roots and tubers ","Teff, red"
800,1,"Grains, roots and tubers ",Barley
804,1,Dairy products ,"Buttermilk, cow"
819,1,Legumes and nuts ,"Haricot beans, red"
820,1,Legumes and nuts ,"Haricot beans, white"
834,1,"Grains, roots and tubers ",Teff
801,1,Other fruits and vegetables ,Beetroot
806,1,non-category,Chat
809,1,non-category,Coffee beans
810,1,Other fruits and vegetables ,Ethiopian cabbage
825,1,Other fruits and vegetables ,Mandarine / Tangerine
830,1,Other fruits and vegetables ,Safflower
807,1,Legumes and nuts ,"Chick peas, red"
812,1,Legumes and nuts ,Fenugreek
813,1,Legumes and nuts ,Field peas
822,1,Other fruits and vegetables ,Kale(yabesha gomen)
826,1,Legumes and nuts ,Mung bean / Masho
827,1,Legumes and nuts ,Neug
828,1,"Grains, roots and tubers ",Oats / 'Aja'
811,1,Legumes and nuts ,Faba bean
817,1,Flesh foods ,"Goat meat, dried"
821,1,non-category,Hops
829,1,Legumes and nuts ,Rape seed
832,1,non-category,Sugarcane
833,1,Other fruits and vegetables ,Swiss chard
836,1,Legumes and nuts ,Vetch pea
814,1,"Grains, roots and tubers ",Finger millet
818,1,Legumes and nuts ,Grass peas
824,1,Legumes and nuts ,Linseed
816,1,Legumes and nuts ,Gibto
805,1,Flesh foods ,"Camel meat, raw"
808,1,Legumes and nuts ,"Chick peas, white"
803,1,Dairy products ,"Buttermilk, camel"
823,1,Legumes and nuts ,Kidniey bean
837,1,Dairy products ,"Yoghurt, camel milk"
802,1,"Grains, roots and tubers ",Black wheat
838,1,Dairy products ,"Yoghurt, goat milk"
234,1,Vitamin A rich fruits and Vegetable ,"Mango, orange"
236,1,Vitamin A rich fruits and Vegetable ,"Papaya, ripe"
247,1,Vitamin A rich fruits and Vegetable ,"Banana, yellow"
197,1,Vitamin A rich fruits and Vegetable ,"Bell Pepper, Red"
156,1,Vitamin A rich fruits and Vegetable ,Carrot
190,1,Vitamin A rich fruits and Vegetable ,Lettuce
201,1,Vitamin A rich fruits and Vegetable ,Pumpkin / squash
222,1,Other fruits and vegetables ,Avocado
155,1,Other fruits and vegetables ,Cabbage
168,1,Other fruits and vegetables ,Onion
171,1,Other fruits and vegetables ,Tomato
199,1,Other fruits and vegetables ,"Bell Pepper, Green"
229,1,Other fruits and vegetables ,Guava
233,1,Other fruits and vegetables ,Lemon
235,1,Other fruits and vegetables ,Orange
165,1,Other fruits and vegetables ,Garlic
241,1,Other fruits and vegetables ,Watermelon
245,1,Other fruits and vegetables ,Apple
237,1,Other fruits and vegetables ,Pineapple
167,1,Other fruits and vegetables ,Okra
134,1,Legumes and nuts ,Broad beans
272,1,Legumes and nuts ,Groundnut
276,1,Legumes and nuts ,Sesame seeds
140,1,Legumes and nuts ,Lentils
118,1,Legumes and nuts ,Soya bean
52,1,"Grains, roots and tubers ",Macaroni
36,1,"Grains, roots and tubers ","Rice, white"
74,1,"Grains, roots and tubers ",Wheat
83,1,"Grains, roots and tubers ",Potato
14,1,"Grains, roots and tubers ",Maize
39,1,"Grains, roots and tubers ",Sorghum
96,1,"Grains, roots and tubers ","Sweet potato, pale yellow"
15,1,"Grains, roots and tubers ",Millet
40,1,"Grains, roots and tubers ",Sorghum
89,1,"Grains, roots and tubers ",Taro
93,1,"Grains, roots and tubers ",Yam
292,1,Flesh foods ,Beef meat
294,1,Flesh foods ,"Lamb/mutton, meat"
336,1,Flesh foods ,"Goat, meat"
326,1,Flesh foods ,"Chicken, meat"
354,1,Eggs ,Egg
405,1,Dairy products ,"Milk, cow"
409,1,Dairy products ,Yoghurt
426,1,Dairy products ,Butter
407,1,Dairy products ,"Milk, goat"
412,1,Dairy products ,"Cheese, Gouda"
422,1,Dairy products ,"Milk, camel"
