FCT_id,food_item_id,Food_grp,Food_name
20000,800,Cereals and their products,Barley
20001,801,Vegetables and their products,Beetroot
20002,802,Cereals and their products,Black wheat
20003,803,Milk and their products,"Buttermilk, camel"
20004,804,Milk and their products,"Buttermilk, cow"
20005,805,Meat and poultry and their products,"Camel meat, raw"
20006,806,Miscellaneous,Chat
20007,807,Legumes and their products,"Chick peas, red"
20008,808,Legumes and their products,"Chick peas, white"
20009,809,Beverages,Coffee beans
20010,810,Vegetables and their products,Ethiopian cabbage
20011,811,Legumes and their products,Faba bean
20012,812,Legumes and their products,Fenugreek
20013,813,Legumes and their products,Field peas
20014,814,Cereals and their products,Finger millet
20015,815,Fish and their products,Fish in general
20016,816,Legumes and their products,Gibto
20017,817,Meat and poultry and their products,"Goat meat, dried"
20018,818,Legumes and their products,Grass peas
20019,819,Legumes and their products,"Haricot beans, red"
20020,820,Legumes and their products,"Haricot beans, white"
20021,821,Miscellaneous,Hops
20022,822,Miscellaneous,Kale(yabesha gomen)
20023,823,Legumes and their products,Kidniey bean
20024,824,"Nuts, seeds and their products",Linseed
20025,825,Fruits and their products,Mandarine / Tangerine
20026,826,Legumes and their products,Mung bean / Masho
20027,827,"Nuts, seeds and their products",Neug
20028,828,Cereals and their products,Oats / 'Aja'
20029,829,"Nuts, seeds and their products",Rape seed
20030,830,"Nuts, seeds and their products",Safflower
20031,831,Meat and poultry and their products,"Sheep meat, dried"
20032,832,Miscellaneous,Sugarcane
20033,833,Vegetables and their products,Swiss chard
20034,834,Cereals and their products,Teff
20035,835,Cereals and their products,"Teff, red"
20036,836,Legumes and their products,Vetch pea
20037,837,Milk and their products,"Yoghurt, camel milk"
20038,838,Milk and their products,"Yoghurt, goat milk"
