GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.4_1,Debub Gondar,ETH.3.4.9_1,Tach Gayint
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.4_1,Debub Gondar,ETH.3.4.10_1,West Esite
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.4_1,Afar Zone 4,ETH.2.4.2_1,Ewa
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.4_1,Afar Zone 4,ETH.2.4.3_1,Gulina
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.3_1,Afar Zone 3,ETH.2.3.6_1,Gewane
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.4_1,Afar Zone 4,ETH.2.4.1_1,Awra
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.5_1,Afar Zone 5,ETH.2.5.1_1,Dalfagi
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.5_1,Afar Zone 5,ETH.2.5.2_1,Dewe
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.4_1,Afar Zone 4,ETH.2.4.4_1,Teru
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.4_1,Afar Zone 4,ETH.2.4.5_1,Yalo
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.5_1,Afar Zone 5,ETH.2.5.5_1,Telalak
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.1_1,Agew Awi,ETH.3.1.1_1,Ankasha
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.5_1,Afar Zone 5,ETH.2.5.3_1,Hadelela
ETH,Ethiopia,ETH.2_1,Afar,ETH.2.5_1,Afar Zone 5,ETH.2.5.4_1,Simurobi Gele'alo
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.1_1,Agew Awi,ETH.3.1.4_1,Fagta Lakoma
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.1_1,Agew Awi,ETH.3.1.5_1,Guagusa Shikudad
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.1_1,Agew Awi,ETH.3.1.2_1,Banja
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.1_1,Agew Awi,ETH.3.1.3_1,Dangila
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.3_1,Debub Achefer
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.4_1,Dega Damot
,,,,,,,
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.1_1,Bahir Dar Zuria
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.2_1,Bure
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.7_1,Mecha
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.8_1,Quarit
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.5_1,Dembecha
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.6_1,Jabi Tehnan
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.11_1,Wemberma
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.12_1,Yilmana Densa
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.9_1,Sekela
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.6_1,Mirab Gojjam,ETH.3.6.10_1,Semen Achefer
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.7_1,Misraq Gojjam,ETH.3.7.3_1,Baso Liben
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.7_1,Misraq Gojjam,ETH.3.7.4_1,Bibugn
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.7_1,Misraq Gojjam,ETH.3.7.1_1,Aneded
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.7_1,Misraq Gojjam,ETH.3.7.2_1,Awabel
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.5_1,Jama
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.6_1,Kalu
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.3_1,Debresina
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.4_1,Dessie Zuria
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.9_1,Legambo
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.10_1,Legehida
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.7_1,Kelela
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.8_1,Kutaber
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.13_1,Sayint
ETH,Ethiopia,ETH.3_1,Amhara,ETH.3.5_1,Debub Wollo,ETH.3.5.14_1,Tenta
